gene,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YAL002W,3.8308572997376,5.07035826513167,-0.366593066894608,0.944211798025309,,-1.31685520253877,-1.36485316347657,2.65141379862756,-1.07602523122483,0.89846162794453,-1.54332989929463,0.520450648836572,-1.38423650410631,-1.32809327059479
YAL016W,2.821762217,4.767992724,-8.351056353,-1.044220802,-1.163052772,-1.543811397,-6.3375218,7.703531285,-4.12823192,0.523658619,-2.602070187,-4.240273061,-2.109654305,-5.688898473
YAL048C,0.162729088527256,-0.78613296122219,-0.041128041395208,0.165080006939214,,-4.82720991239376,-0.647989484848046,-5.0098155934672,-1.99351598684211,0.243511701030585,0.634895121183394,-2.03080893634362,0.522490898026033,0.483598310417348
YAL067W-A,-4.90961505700183,-0.213034528802475,0.622049139305295,0.416895749252,-0.009639175389573,2.9916332734026,0.960511594892853,0.893391964542321,0.83204978657674,-1.35529371800251,-0.010553121552181,-0.206856574458879,1.0600989205139,-0.419262053648992
YBL007C,-1.192872482725,-1.93590148912069,-3.04071831818514,-1.28782693612306,-0.241405278930762,-2.70566604767774,-3.42222924326065,1.45965584757697,1.36772889306183,-0.797344615507677,-2.90450422264612,-2.23740359734115,-2.97649533865449,1.30677911102474
YBL017C,3.16698243875444,4.29429892487197,0.82588961527828,0.423615618509325,0.607400055764235,-0.914630790421134,-0.517647812525619,4.70555588049963,2.55424486723951,-1.41864306272934,-1.08218633320003,0.772491881561283,-2.04142244142591,1.3512789096751
YBL024W,1.55401353475211,8.60978813194084,1.05663822341556,0.189762508541069,-2.59065189638268,0.679504042128535,3.16021743927211,-0.478494890114235,-1.93544907600446,-1.859691907931,0.95798424565374,3.26323771581271,-2.0003364613502,0.554739061467174
YBL027W,-0.365239792326308,-5.04216716666019,-4.48446665455059,-2.14015038022394,0.137492908528527,-1.19388852896178,-1.93740658502846,-0.786133291489034,-1.00251501863951,0.136977802021268,-3.36625961388215,-1.01944002263888,-1.44584866660572,-0.258778419765181
YBL047C,4.28646850630157,1.75461705901217,-0.076044087059116,-0.304539901463253,1.41122791496023,-0.849537931490199,-0.442370044716322,1.17647489212751,2.27829534316374,0.791494967446268,-0.34064144671735,0.900025339537471,-0.114216760962894,1.37748025832309
YBL068W,1.93038539347649,4.09341465146419,0.275285786077006,-0.801881150531201,1.00159226117298,-0.0607847481337,-0.261965157972088,3.11552697051301,4.08121479549614,-1.81520548871922,2.55518937989314,1.16860789959085,0.092717755219191,0.260403215447472
YBL071C-B,-3.89060019978385,-2.23636974539921,0.52189015735439,-0.490520220524754,-0.526191831412245,-0.736817745499608,1.65061410537033,-3.13166337379738,-0.322130089649018,-0.762283735806222,-0.108192128054853,-1.53462696630732,-1.31316043540473,-1.23292598490969
YBL071W-A,-4.001342849,0.198048319,1.075603413,0.324775351,-1.127689882,1.78174691,-2.680246837,2.971021109,0.142648988,-5.474120027,0.252125998,-3.890928524,-1.537162214,-0.835985988
